dataset_source,track,reporting_phase,model_key,seed_count,MAE_median,MAE_std,RMSE_median,WMAPE_median,sMAPE_median,p90_error_median,failure_rate,training_duration,inference_latency,artifact_size,baseline_MAE,relative_mae_improvement_vs_baseline,paired_ci_lower,paired_ci_upper,promotion_status
bdg2,unseen_entity,H03_05,ridge,3,30158.084793904167,0.0,58857.854100323704,0.14403059801965434,0.45472345599167746,51917.572737293885,0.0,2.4847502000011445,0.02201481892090483,9042,32073.608401999994,5.972273478204537,-15680.698183587167,9429.161430320015,REJECTED_NOT_STATISTICALLY_SIGNIFICANT
bdg2,unseen_entity,H06_12,catboost,3,18684.420563366893,1710.7245302057224,34186.528420557064,0.26578613140544605,0.5574640063647738,40785.102597408164,0.0,36.75205660000029,0.012950628233409449,374888,9622.41812857143,-94.17593700161557,3620.9268342009905,15471.619956673992,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,unseen_entity,H06_12,deepar,3,7167.490139285715,387.2725762013148,14974.252458429763,0.10195764270808895,0.15564223493938376,18406.52492500002,0.0,32.2596838999998,1.9077994987469633,3131181,9622.41812857143,25.51258900292852,-7060.19879723416,808.7188545036577,REJECTED_NOT_STATISTICALLY_SIGNIFICANT
bdg2,unseen_entity,H06_12,deterministic_baseline,1,9622.41812857143,0.0,25053.181890774227,0.1368790260572991,0.16893226606223902,17184.313759999997,0.0,0.0,0.06821746045182134,0,9622.41812857143,,,,BASELINE
bdg2,unseen_entity,H06_12,gradient_boosting,3,15450.797004213176,6.47383073375829e-12,23604.497410782787,0.2197877932020105,0.5086374703891116,33949.41104968011,0.0,87.8758633999987,0.013057926829080743,139197,9622.41812857143,-60.57083362794009,-674.4617238269374,11063.6039807994,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,unseen_entity,H06_12,lightgbm,3,7036.498234337281,174.11491284775107,15468.416954588434,0.10009428111527967,0.12465221407799569,16033.688229371453,0.0,4.943082399999184,0.03175936807096921,957220,9622.41812857143,26.873909028707537,-6888.617932233521,764.0863963629711,REJECTED_NOT_STATISTICALLY_SIGNIFICANT
bdg2,unseen_entity,H06_12,nbeats,3,6492.664506436011,457.82883806480777,14533.802389350041,0.0923582390915802,0.10911145342312543,16491.376565000002,0.0,29.656322999999247,1.9964090225572175,3127799,9622.41812857143,32.52564563622918,-7344.090693058113,-261.4087775037217,NOT_PROMOTED
bdg2,unseen_entity,H06_12,ridge,3,26876.124530685476,3.637978807091713e-12,47068.98432920492,0.3823132294606569,1.1424157675144389,60426.77712436227,0.0,2.4847502000011445,0.02201481892090483,9042,9622.41812857143,-179.30738585224606,8007.93765408473,26613.698765956236,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,unseen_entity,H13_PLUS,catboost,3,19733.926311621413,1448.791359135112,39888.22177325451,0.20591418204011988,0.5106467517578076,38016.68661472432,0.0,36.75205660000029,0.012950628233409445,374888,16688.690645442177,-18.24730130647437,-247.9279855924241,5784.702786405792,REJECTED_INSUFFICIENT_IMPROVEMENT
bdg2,unseen_entity,H13_PLUS,deepar,3,15162.419834082542,784.2136895745732,48190.45552541769,0.1582126753987797,0.3247681809252006,27525.38567499999,0.0,32.2596838999998,1.9077994987469635,3131181,16688.690645442177,9.145539597958047,-5154.266385368803,1649.7742438082305,REJECTED_NOT_STATISTICALLY_SIGNIFICANT
