model_key,model_random_seed,baseline_model_key,baseline_random_seed,track,reporting_phase,model_success_observation_count,baseline_success_observation_count,paired_observation_count,paired_count,mae_difference,ci_95_lower,ci_95_upper,comparison_status,comparison_reason,significance_status,comparison_method,bootstrap_samples,minimum_paired_observations
deepar,43,deterministic_baseline,0,unseen_entity,H00,0,0,0,0,,,,NO_COMMON_COHORT,model and baseline have no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,17,deterministic_baseline,0,unseen_entity,H01_02,0,57,0,0,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,29,deterministic_baseline,0,unseen_entity,H01_02,0,57,0,0,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,43,deterministic_baseline,0,unseen_entity,H01_02,0,57,0,0,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,17,deterministic_baseline,0,unseen_entity,H03_05,0,59,0,0,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,29,deterministic_baseline,0,unseen_entity,H03_05,0,59,0,0,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,43,deterministic_baseline,0,unseen_entity,H03_05,0,59,0,0,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,17,deterministic_baseline,0,unseen_entity,H06_12,81,81,81,81,-1767.2815274167863,-5428.175566539869,1091.6525710436185,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,29,deterministic_baseline,0,unseen_entity,H06_12,81,81,81,81,-1426.073849103708,-5119.494657823929,1264.570728608646,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,43,deterministic_baseline,0,unseen_entity,H06_12,81,81,81,81,-1727.0281259354417,-4664.085915438709,1082.152321052744,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,17,deterministic_baseline,0,unseen_entity,H13_PLUS,1151,1151,1151,1151,-959.8916515437775,-4662.111923129938,2506.4877360977293,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,29,deterministic_baseline,0,unseen_entity,H13_PLUS,1151,1151,1151,1151,-1007.1385625346352,-4057.3987578532547,1509.4172284590838,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,500,30
