reporting_phase,track,model_key,prediction_micro_count,eligible_prediction_micro_count,successful_prediction_micro_count,skipped_prediction_micro_count,failed_prediction_micro_count,micro_wmape,micro_mae,failure_reason_counts,ineligibility_reason_counts,common_cohort_observation_count,common_cohort_wmape,is_phase_champion,is_common_cohort_champion,is_product_routing_recommendation,available_cohort_rank,common_cohort_rank
H00,seen_entity,catboost,17877,17874,17874,3,0,0.8053195036684231,79602.44009333084,"{""<NONE>"":17877}","{""<NONE>"":17874,""ZERO_HISTORY_WITHOUT_STATIC_PROFILE"":3}",,,False,False,False,4.0,
H00,seen_entity,deepar,17877,0,0,17877,0,,,"{""<NONE>"":17877}","{""MINIMUM_CONTEXT_6_MONTHS"":17877}",,,False,False,False,,
H00,seen_entity,deterministic_baseline,5959,0,0,5959,0,,,"{""<NONE>"":5959}","{""ZERO_HISTORY_NO_DETERMINISTIC_PATH"":5959}",,,False,False,False,,
H00,seen_entity,nbeats,17877,0,0,17877,0,,,"{""<NONE>"":17877}","{""MINIMUM_CONTEXT_6_MONTHS"":17877}",,,False,False,False,,
H00,unseen_entity,lightgbm,2706,2703,2703,3,0,0.5807008910311211,63467.364232779604,"{""<NONE>"":2706}","{""<NONE>"":2703,""ZERO_HISTORY_WITHOUT_STATIC_PROFILE"":3}",,,False,False,False,1.0,
H00,unseen_entity,gradient_boosting,2706,2703,2703,3,0,0.7533978032671922,82342.1722450437,"{""<NONE>"":2706}","{""<NONE>"":2703,""ZERO_HISTORY_WITHOUT_STATIC_PROFILE"":3}",,,False,False,False,2.0,
H00,unseen_entity,ridge,2706,2703,2703,3,0,0.7534595134765362,82348.91682627959,"{""<NONE>"":2706}","{""<NONE>"":2703,""ZERO_HISTORY_WITHOUT_STATIC_PROFILE"":3}",,,False,False,False,3.0,
H00,unseen_entity,catboost,2706,2703,2703,3,0,1.1028723821960393,120537.79194108052,"{""<NONE>"":2706}","{""<NONE>"":2703,""ZERO_HISTORY_WITHOUT_STATIC_PROFILE"":3}",,,False,False,False,4.0,
H00,unseen_entity,deepar,2706,0,0,2706,0,,,"{""<NONE>"":2706}","{""MINIMUM_CONTEXT_6_MONTHS"":2706}",,,False,False,False,,
H00,unseen_entity,deterministic_baseline,902,0,0,902,0,,,"{""<NONE>"":902}","{""ZERO_HISTORY_NO_DETERMINISTIC_PATH"":902}",,,False,False,False,,
H00,unseen_entity,nbeats,2706,0,0,2706,0,,,"{""<NONE>"":2706}","{""MINIMUM_CONTEXT_6_MONTHS"":2706}",,,False,False,False,,
H01_02,all_tracks,deterministic_baseline,373,373,373,0,0,0.08375537783753449,10733.90318861498,"{""<NONE>"":373}","{""<NONE>"":373}",373,0.08375537783753449,True,True,True,1.0,1.0
H01_02,all_tracks,lightgbm,1119,1119,1119,0,0,0.08438797272996952,10814.975144927821,"{""<NONE>"":1119}","{""<NONE>"":1119}",373,0.08438797272996952,False,False,False,2.0,2.0
H01_02,all_tracks,gradient_boosting,1119,1119,1119,0,0,0.26239063918395517,33627.40150325239,"{""<NONE>"":1119}","{""<NONE>"":1119}",373,0.26239063918395517,False,False,False,3.0,3.0
H01_02,all_tracks,ridge,1119,1119,1119,0,0,0.34688165835077184,44455.58285064275,"{""<NONE>"":1119}","{""<NONE>"":1119}",373,0.34688165835077184,False,False,False,4.0,4.0
H01_02,all_tracks,catboost,1119,1119,1119,0,0,0.6249310070778918,80089.76978827054,"{""<NONE>"":1119}","{""<NONE>"":1119}",373,0.6249310070778918,False,False,False,5.0,5.0
H01_02,all_tracks,deepar,1119,0,0,1119,0,,,"{""<NONE>"":1119}","{""MINIMUM_CONTEXT_6_MONTHS"":1119}",373,,False,False,False,,
H01_02,all_tracks,nbeats,1119,0,0,1119,0,,,"{""<NONE>"":1119}","{""MINIMUM_CONTEXT_6_MONTHS"":1119}",373,,False,False,False,,
H01_02,seen_entity,deterministic_baseline,316,316,316,0,0,0.08531761397028974,9702.27989789973,"{""<NONE>"":316}","{""<NONE>"":316}",,,False,False,False,1.0,
